6008	Innerpartysystem	http://dbpedia.org/resource/Innerpartysystem
18064	KRS-One	http://dbpedia.org/resource/KRS-One
14092	Diabolical Masquerade	http://dbpedia.org/resource/Diabolical_Masquerade
16734	Deadmau5 & Wolfgang Gartner	http://dbpedia.org/resource/Deadmau5
9638	Joachim Witt	http://dbpedia.org/resource/Joachim_Witt
4206	The Hard Lessons	http://dbpedia.org/resource/The_Hard_Lessons
2376	Jenni Vartiainen	http://dbpedia.org/resource/Jenni_Vartiainen
5418	Vashti Bunyan	http://dbpedia.org/resource/Vashti_Bunyan
4819	Fernanda Takai	http://dbpedia.org/resource/Fernanda_Takai
2968	Elias Viljanen	http://dbpedia.org/resource/Elias_Viljanen
14093	Cattle Decapitation	http://dbpedia.org/resource/Cattle_Decapitation
9639	End of Green	http://dbpedia.org/resource/End_of_Green_(band)
4207	Bear vs. Shark	http://dbpedia.org/resource/Bear_vs._Shark
7827	Twin Sister	http://dbpedia.org/resource/Mr._Twin_Sister
1197	Senses Fail	http://dbpedia.org/resource/Senses_Fail
5419	Sons and Daughters	http://dbpedia.org/resource/Sons_and_Daughters_(band)
2969	Wintersun	http://dbpedia.org/resource/Wintersun
6010	Devil Sold His Soul	http://dbpedia.org/resource/Devil_Sold_His_Soul
605	Beastie Boys	http://dbpedia.org/resource/Beastie_Boys
4208	Streetlight Manifesto	http://dbpedia.org/resource/Streetlight_Manifesto
11548	The Early November	http://dbpedia.org/resource/The_Early_November
2970	Hypocrisy	http://dbpedia.org/resource/Hypocrisy_(band)
4820	Lagwagon	http://dbpedia.org/resource/Lagwagon
3585	Blake Shelton	http://dbpedia.org/resource/Blake_Shelton
7211	Olivia Ruiz	http://dbpedia.org/resource/Olivia_Ruiz
6011	Nevea Tears	http://dbpedia.org/resource/Nevea_Tears
14094	Zao	http://dbpedia.org/resource/Zao_(French_band)
10263	Rafet El Roman	http://dbpedia.org/resource/Rafet_El_Roman
4209	7Seconds	http://dbpedia.org/resource/7_Seconds_(band)
16735	Modjo	http://dbpedia.org/resource/Modjo
9641	mono inc. & lisa middelhauve	http://dbpedia.org/resource/Mono_Inc.
11549	Pretty Girls Make Graves	http://dbpedia.org/resource/Pretty_Girls_Make_Graves
1198	We The Kings	http://dbpedia.org/resource/We_the_Kings
14766	Minilogue	http://dbpedia.org/resource/Minilogue
2971	Animals as Leaders	http://dbpedia.org/resource/Animals_as_Leaders
4821	NOFX	http://dbpedia.org/resource/NOFX
15439	Vendetta Red	http://dbpedia.org/resource/Vendetta_Red
16074	Binary Star	http://dbpedia.org/resource/Binary_Star_(hip_hop_group)
3586	Mark Wills	http://dbpedia.org/resource/Mark_Wills
14095	Rock Mafia	http://dbpedia.org/resource/Rock_Mafia
10264	Yui Makino	http://dbpedia.org/resource/Yui_Makino
13423	Salad	http://dbpedia.org/resource/Salad_(band)
1199	Destine	http://dbpedia.org/resource/Destine
2972	Star One	http://dbpedia.org/resource/Star_One
